List,dec
text+button,5.6%
popup_with_access,83.3%
text_only,6.7%
open_with,2.2%
text_empty,30.0%
share_with,76.9%
list+on_off,94.3%
advertisement+button,75.0%
image_list,55.6%
popup_date,83.3%
movie,33.3%
menu_list,37.1%
translate_with_sound,0.0%
IME,10.0%
dialer,13.3%
translate,92.0%
image_view,22.5%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,5.7%
pinpoint_location,3.3%
popup_with_continue_as_name,77.1%
list,2.5%
camera,92.5%
picture,0.0%
popup,16.7%
navigation_menu,35.6%
input_form,3.3%
select_dialog,36.7%
calendar,6.7%
text_image,3.3%
continue_button,4.8%
theme,77.3%
homescreen,20.0%
Total,36.0%
