List,dec
text+button,11.1%
popup_with_access,0.0%
text_only,10.0%
open_with,2.2%
text_empty,6.7%
share_with,94.2%
list+on_off,2.9%
advertisement+button,92.5%
image_list,22.2%
popup_date,50.0%
movie,43.3%
menu_list,42.9%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,0.0%
image_view,2.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,28.6%
pinpoint_location,0.0%
popup_with_continue_as_name,0.0%
list,45.0%
camera,57.5%
picture,53.3%
popup,3.3%
navigation_menu,24.4%
input_form,3.3%
select_dialog,30.0%
calendar,86.7%
text_image,6.7%
continue_button,7.1%
theme,77.3%
homescreen,20.0%
Total,27.5%
