List,dec
text+button,5.6%
popup_with_access,83.3%
text_only,3.3%
open_with,80.0%
text_empty,30.0%
share_with,80.8%
list+on_off,94.3%
advertisement+button,75.0%
image_list,55.6%
popup_date,83.3%
movie,20.0%
menu_list,37.1%
translate_with_sound,0.0%
IME,10.0%
dialer,13.3%
translate,0.0%
image_view,5.0%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,3.3%
popup_with_continue_as_name,77.1%
list,62.5%
camera,92.5%
picture,0.0%
popup,16.7%
navigation_menu,2.2%
input_form,36.7%
select_dialog,0.0%
calendar,56.7%
text_image,3.3%
continue_button,4.8%
theme,18.2%
homescreen,20.0%
Total,37.0%
